Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,Org Code 80166,,,,,,,"41,896",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,0800 Reserve for Contingencies,,,,,,"41,896",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0801 Future C.I.P. Commitments,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
81166 Future C.I.P. Commitments,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410006 Current Taxes-Real Estate-Sandbridge TIF,,,,,,,,"7,845,752","7,445,845",,,"7,445,845",,"7,098,316",,"6,894,526",,"6,687,690","6,687,690",,"6,751,605"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,0,"48,510",,,"48,510",,"15,300",,"15,453",,"15,608","15,764",,"15,922"
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"787,316",,,"787,316",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 81166,,,,,,,"7,845,752",,"8,281,671",,"8,281,671",,"7,113,616","6,909,979",,"6,703,298","6,703,454",,"6,767,527"
,,,,,,,,,,,,,,,,,,,,,
,,0801 Future C.I.P. Commitments,,,,,,"7,845,752","8,281,671",,,"8,281,671",,"7,113,616",,"6,909,979",,"6,703,298","6,703,454",,"6,767,527"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
166 Sandbridge Tax Increment Financing Fund,,,,,,,,"7,887,648","8,281,671",,,"8,281,671",,"7,113,616",,"6,909,979",,"6,703,298","6,703,454",,"6,767,527"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,169 Central Business District-South TIF (Twn Cntr) Fd,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0150 Economic Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
70169 Debt Service,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410011 Current Taxes - Real Estate - Town Center TIF,,,,,,,,0,"5,241,159",,,"5,241,159",,"4,976,213",,"4,826,927",,"4,688,347","4,690,423",,"4,737,327"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
411701 Hotel Room Taxes,,,,,,,,0,0,,,0,,"222,222",,"232,222",,"242,672","253,592",,"265,004"
,,,,,,,,,,,,,,,,,,,,,
411708 Hotel Room Taxes - Major Projects,,,,,,,,0,0,,,0,,"277,778",,"290,278",,"303,341","316,991",,"331,255"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"325,658",,,"325,658",,"112,099",,"112,099",,"112,099","112,099",,"112,099"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 70169,,,,,,,0,,"5,566,817",,"5,566,817",,"5,588,312","5,461,526",,"5,346,459","5,373,105",,"5,445,685"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,45,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,169 Central Business District-South TIF (Twn Cntr) Fd,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0150 Economic Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
90169 Transfer to Other Funds for Debt Service,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410011 Current Taxes - Real Estate - Town Center TIF,,,,,,,,"5,299,472",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,0,"15,000",,,"15,000",,"3,000",,"3,030",,"3,060","3,091",,"3,122"
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"135,000",,,"135,000",,"147,000",,"147,000",,"147,000","147,000",,"147,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 90169,,,,,,,"5,299,472",,"150,000",,"150,000",,"150,000","150,030",,"150,060","150,091",,"150,122"
,,,,,,,,,,,,,,,,,,,,,
,,,0150 Economic Development,,,,,"5,299,472","5,716,817",,,"5,716,817",,"5,738,312",,"5,611,556",,"5,496,519","5,523,196",,"5,595,807"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0801 Future C.I.P. Commitments,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
81169 Future C.I.P. Commitments,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
411701 Hotel Room Taxes,,,,,,,,0,"222,222",,,"222,222",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
411708 Hotel Room Taxes - Major Projects,,,,,,,,0,"277,778",,,"277,778",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"3,522",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"11,788",,,"11,788",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 81169,,,,,,,"3,522",,"511,788",,"511,788",,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,0801 Future C.I.P. Commitments,,,,,,"3,522","511,788",,,"511,788",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
169 Central Business District-South TIF (Twn Cntr) Fd,,,,,,,,"5,302,994","6,228,605",,,"6,228,605",,"5,738,312",,"5,611,556",,"5,496,519","5,523,196",,"5,595,807"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,172 Open Space Special Revenue Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0100 Public Works,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10503 Open Space - Surveys,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
411810 Restaurant Meal Taxes - Open Space,,,,,,,,0,"15,300",,,"15,300",,"15,300",,"16,065",,"16,868","17,712",,"18,597"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10503,,,,,,,0,,"15,300",,"15,300",,"15,300","16,065",,"16,868","17,712",,"18,597"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0100 Public Works,,,0,"15,300",,,"15,300",,"15,300",,"16,065",,"16,868","17,712",,"18,597"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0110 Parks and Recreation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
11038 Open Space Management and Maintenance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
411810 Restaurant Meal Taxes - Open Space,,,,,,,,"4,030,493","1,668,539",,,"1,668,539",,"1,943,956",,"2,041,154",,"2,143,211","2,250,372",,"2,362,891"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"11,804",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11038,,,,,,,"4,042,297",,"1,668,539",,"1,668,539",,"1,943,956","2,041,154",,"2,143,211","2,250,372",,"2,362,891"
,,,,,,,,,,,,,,,,,,,,,
70172 Debt Service,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
411810 Restaurant Meal Taxes - Open Space,,,,,,,,0,"2,456,342",,,"2,456,342",,"2,442,773",,"2,564,912",,"2,693,158","2,827,816",,"2,969,207"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 70172,,,,,,,0,,"2,456,342",,"2,456,342",,"2,442,773","2,564,912",,"2,693,158","2,827,816",,"2,969,207"
,,,,,,,,,,,,,,,,,,,,,
80172 Reserve for Contingencies,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"1,087,857",,,"1,087,857",,"549,316",,"549,316",,"549,316","549,316",,"549,316"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 80172,,,,,,,0,,"1,087,857",,"1,087,857",,"549,316","549,316",,"549,316","549,316",,"549,316"
,,,,,,,,,,,,,,,,,,,,,
81172 Future C.I.P. Commitments,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,0,"47,090",,,"47,090",,"14,560",,"14,706",,"14,853","15,001",,"15,151"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 81172,,,,,,,0,,"47,090",,"47,090",,"14,560","14,706",,"14,853","15,001",,"15,151"
,,,,,,,,,,,,,,,,,,,,,
,,,,0110 Parks and Recreation,,,,"4,042,297","5,259,828",,,"5,259,828",,"4,950,605",,"5,170,087",,"5,400,538","5,642,505",,"5,896,565"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,46,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
172 Open Space Special Revenue Fund,,,,,,,,"4,042,297","5,275,128",,,"5,275,128",,"4,965,905",,"5,186,152",,"5,417,406","5,660,217",,"5,915,162"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,173 Major Projects Special Revenue Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0900 Transfer to Other Funds,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
90173 Transfer to Other Funds,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"3,129,087",,,"3,129,087",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 90173,,,,,,,0,,"3,129,087",,"3,129,087",,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,0900 Transfer to Other Funds,,,,,0,"3,129,087",,,"3,129,087",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
173 Major Projects Special Revenue Fund,,,,,,,,0,"3,129,087",,,"3,129,087",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,174 Town Center Special Service District,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0100 Public Works,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10710 Town Center Street Sweeping,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410008 Current Taxes - Real Estate - Town Center SSD,,,,,,,,"15,136",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10710,,,,,,,"15,136",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0100 Public Works,,,"15,136",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0110 Parks and Recreation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
11047 Landscape Special Zone Management - Town Center,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410008 Current Taxes - Real Estate - Town Center SSD,,,,,,,,"53,480","53,000",,,"53,000",,"29,367",,"29,367",,"29,367","29,367",,"29,367"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11047,,,,,,,"53,480",,"53,000",,"53,000",,"29,367","29,367",,"29,367","29,367",,"29,367"
,,,,,,,,,,,,,,,,,,,,,
,,,,0110 Parks and Recreation,,,,"53,480","53,000",,,"53,000",,"29,367",,"29,367",,"29,367","29,367",,"29,367"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0150 Economic Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
15104 Town Center Parking Operations,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410008 Current Taxes - Real Estate - Town Center SSD,,,,,,,,"1,371,407","1,338,304",,,"1,338,304",,"1,109,667",,"1,076,455",,"1,044,239","1,044,239",,"1,054,655"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"4,199",0,,,0,,"2,600",,"2,626",,"2,652","2,679",,"2,706"
,,,,,,,,,,,,,,,,,,,,,
414064 Vault / Space Rental,,,,,,,,0,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
414072 Plaza Rental,,,,,,,,0,"5,475",,,"5,475",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,0,,,0,,"318,094",,"318,094",,"318,094","318,094",,"318,094"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 15104,,,,,,,"1,375,606",,"1,343,779",,"1,343,779",,"1,430,361","1,397,175",,"1,364,985","1,365,012",,"1,375,455"
,,,,,,,,,,,,,,,,,,,,,
80174 Reserve for Contingencies,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410008 Current Taxes - Real Estate - Town Center SSD,,,,,,,,"286,131","283,564",,,"283,564",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"206,797",,,"206,797",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 80174,,,,,,,"286,131",,"490,361",,"490,361",,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
90174 Transfer to Other Funds,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
410008 Current Taxes - Real Estate - Town Center SSD,,,,,,,,0,"15,000",,,"15,000",,"337,197",,"337,197",,"337,197","337,197",,"337,197"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 90174,,,,,,,0,,"15,000",,"15,000",,"337,197","337,197",,"337,197","337,197",,"337,197"
,,,,,,,,,,,,,,,,,,,,,
,,,0150 Economic Development,,,,,"1,661,737","1,849,140",,,"1,849,140",,"1,767,558",,"1,734,372",,"1,702,182","1,702,209",,"1,712,652"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
174 Town Center Special Service District,,,,,,,,"1,730,353","1,902,140",,,"1,902,140",,"1,796,925",,"1,763,739",,"1,731,549","1,731,576",,"1,742,019"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,47,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,180 Community Development Special Revenue Fund,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
40120 Certificate of Compliance Program,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415909 Certificate of Compliance Rental Inspection Fees,,,,,,,,"48,000","60,000",,,"70,000",,"70,000",,"72,100",,"74,263","76,491",,"78,786"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"3,115",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
431003 HUD Community Development Regular,,,,,,,,"535,561","603,855",,,"593,855",,"636,199",,"636,199",,"636,199","636,199",,"636,199"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40120,,,,,,,"586,676",,"663,855",,"663,855",,"706,199","708,299",,"710,462","712,690",,"714,985"
,,,,,,,,,,,,,,,,,,,,,
40140 Rehabilitation and Construction,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
431003 HUD Community Development Regular,,,,,,,,"66,973","490,903",,,"490,903",,"320,890",,"320,890",,"320,890","320,890",,"320,890"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40140,,,,,,,"66,973",,"490,903",,"490,903",,"320,890","320,890",,"320,890","320,890",,"320,890"
,,,,,,,,,,,,,,,,,,,,,
40952 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
431003 HUD Community Development Regular,,,,,,,,"1,022,977","492,749",,,"405,608",,"351,825",,"351,825",,"351,825","351,825",,"351,825"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40952,,,,,,,"1,022,977",,"492,749",,"405,608",,"351,825","351,825",,"351,825","351,825",,"351,825"
,,,,,,,,,,,,,,,,,,,,,
"40958 Strategy, Policy and Resource Division",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
431003 HUD Community Development Regular,,,,,,,,"77,188",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40958,,,,,,,"77,188",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
90180 Transfer to Other Funds,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
431003 HUD Community Development Regular,,,,,,,,0,"88,268",,,"88,268",,"96,503",,"96,503",,"96,503","96,503",,"96,503"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 90180,,,,,,,0,,"88,268",,"88,268",,"96,503","96,503",,"96,503","96,503",,"96,503"
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,"1,753,814","1,735,775",,,"1,648,634",,"1,475,417",,"1,477,517",,"1,479,680","1,481,908",,"1,484,203"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
180 Community Development Special Revenue Fund,,,,,,,,"1,753,814","1,735,775",,,"1,648,634",,"1,475,417",,"1,477,517",,"1,479,680","1,481,908",,"1,484,203"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,181 CD Loan and Grant Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
40954 Loan and Grants,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414005 Loan Interest,,,,,,,,"4,487",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416215 Senior Disabled Program Refund,,,,,,,,"3,580",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416222 Reimbursement - Facade Program,,,,,,,,"21,205",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
431003 HUD Community Development Regular,,,,,,,,"-14,268","779,107",,,"430,506",,"370,488",,"370,488",,"370,488","370,488",,"370,488"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
440002 Loan Principal,,,,,,,,"30,700","125,000",,,"125,000",,"100,000",,"100,000",,"100,000","100,000",,"100,000"
,,,,,,,,,,,,,,,,,,,,,
440005 Proceeds - State Literary Fd Loan,,,,,,,,636,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
440100 Miscellaneous Principal,,,,,,,,"19,698",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40954,,,,,,,"66,038",,"904,107",,"555,506",,"470,488","470,488",,"470,488","470,488",,"470,488"
,,,,,,,,,,,,,,,,,,,,,
70181 Debt Service,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
431003 HUD Community Development Regular,,,,,,,,0,"186,418",,,"186,418",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 70181,,,,,,,0,,"186,418",,"186,418",,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,"66,038","1,090,525",,,"741,924",,"470,488",,"470,488",,"470,488","470,488",,"470,488"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,181 CD Loan and Grant Fund,,,,,"66,038","1,090,525",,,"741,924",,"470,488",,"470,488",,"470,488","470,488",,"470,488"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,48,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,182 Federal Housing Assistance Grant Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
40953 Federal HOME Grants,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414005 Loan Interest,,,,,,,,"9,841",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415248 Subordination Fees,,,,,,,,225,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416169 First Time Home Buyer Refund,,,,,,,,"3,150",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416215 Senior Disabled Program Refund,,,,,,,,"1,527",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433106 Home Program,,,,,,,,"276,549","1,533,628",,,"1,350,257",,"829,400",,"829,400",,"829,400","829,400",,"829,400"
,,,,,,,,,,,,,,,,,,,,,
440002 Loan Principal,,,,,,,,"4,537","125,000",,,"125,000",,"70,000",,"70,000",,"70,000","70,000",,"70,000"
,,,,,,,,,,,,,,,,,,,,,
440100 Miscellaneous Principal,,,,,,,,"53,211",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40953,,,,,,,"349,040",,"1,658,628",,"1,475,257",,"899,400","899,400",,"899,400","899,400",,"899,400"
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,"349,040","1,658,628",,,"1,475,257",,"899,400",,"899,400",,"899,400","899,400",,"899,400"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
182 Federal Housing Assistance Grant Fund,,,,,,,,"349,040","1,658,628",,,"1,475,257",,"899,400",,"899,400",,"899,400","899,400",,"899,400"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,183 Grants Consolidated Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0062 Commonwealth's Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
06952 Commonwealth's Attorney - Grants,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422306 DCJS - Victim/Witness,,,,,,,,"196,310","260,585",,,"265,797",,"265,797",,"269,784",,"273,831","277,938",,"282,107"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06952,,,,,,,"196,310",,"260,585",,"265,797",,"265,797","269,784",,"273,831","277,938",,"282,107"
