"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
60150 FY 2009 Outstanding ,,,,,,,,"2,246",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,9999 FY 2009 Outstanding ,,,,,,"2,246",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
150 Inmate Services Special Revenue ,,,,,,,,"593,859","670,159",,"670,159","854,024",,"854,024",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,     151 Parks and Recreation Special Revenue Fund     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0100 Public Works    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10676 Recreation Centers Building Maintenance ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"95,160",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601150,,Technical Salaries,,,,,,"28,778","52,866",,"52,866","54,187",,"54,187",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601180,,Skilled Salaries,,,,,,"68,261","131,507",,"131,507","134,796",,"134,796",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,"11,246",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601240,,Supervisory Overtime,,,,,,864,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601250,,Technical Overtime,,,,,,"19,030",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601280,,Skilled Overtime,,,,,,"3,917",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"5,634",,"5,634",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601720,,Overtime and Fringe Benefit Increases,,,,,,0,754,,754,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"15,080","11,431",,"11,431","11,717",,"11,717",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"3,599","2,673",,"2,673","2,740",,"2,740",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"31,045","30,384",,"30,384","33,224",,"33,224",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"21,600","21,600",,"21,600","21,600",,"21,600",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"1,545","1,641",,"1,641","1,928",,"1,928",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,"21,309","15,998",,"15,998","12,000",,"12,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603404,,Uniform Rental,,,,,,0,314,,314,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"1,125,887","1,278,743",,"1,278,743","1,172,482",,"1,172,482",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603424,,Fire Systems Services,,,,,,0,0,,0,"6,000",,"6,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,765,781,,781,781,,781,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605101,,Electrical Services,,,,,,"859,984","710,546",,"710,546","710,546",,"710,546",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605102,,Heating Services,,,,,,"227,631","313,520",,"313,520","313,520",,"313,520",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605103,,Water Services,,,,,,"48,845","39,742",,"39,742","39,742",,"39,742",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605104,,Sewerage Services,,,,,,"53,741","17,435",,"17,435","17,435",,"17,435",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"7,631",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606423,,Building Maintenance Supplies,,,,,,"83,369","58,701",,"58,701","44,400",,"44,400",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606432,,Shop Supplies,,,,,,160,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10676 Recreation Centers Building ,,,,,,,,"2,729,447","2,694,270",,"2,694,270","2,577,098",,"2,577,098",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,0100 Public Works,,,,,"2,729,447","2,694,270",,"2,694,270","2,577,098",,"2,577,098",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0110 Parks and Recreation    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11010 Director's Office ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601100,,Executive Salaries,,,,,,"73,767","133,776",,"133,776","143,331",,"143,331",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"96,058",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,"20,314","33,184",,"33,184","40,785",,"40,785",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"4,895",,"4,895",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"9,336","8,536",,"8,536","9,473",,"9,473",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"2,815","2,508",,"2,508","2,756",,"2,756",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"30,717","27,515",,"27,515","32,368",,"32,368",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"10,800","10,800",,"10,800","10,800",,"10,800",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,179,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,     151 Parks and Recreation Special Revenue Fund     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0110 Parks and Recreation    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11010 Director's Office ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"1,528","1,486",,"1,486","1,878",,"1,878",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,41,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602970,,Car Allowance,,,,,,"6,000","6,000",,"6,000","6,000",,"6,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603302,,Publicity and Public Relations,,,,,,160,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"2,070","6,120",,"6,120","6,120",,"6,120",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604120,,Existing Subscriptions,,,,,,"14,325","14,612",,"14,612","14,325",,"14,325",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604203,,City Garage - Fuel,,,,,,0,204,,204,200,,200,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"1,168","1,101",,"1,101","1,101",,"1,101",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"7,517","7,667",,"7,667","7,667",,"7,667",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,120,153,,153,175,,175,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,933,"1,275",,"1,275","1,275",,"1,275",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"6,715","8,078",,"8,078","7,270",,"7,270",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,524,561,,561,560,,560,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605512,,P-Card Travel,,,,,,390,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"1,784","3,014",,"3,014","3,050",,"3,050",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605899,,Miscellaneous,,,,,,330,"34,125",,"34,125","1,500",,"3,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,11,918,,918,920,,920,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606011,,Instructional Supplies,,,,,,8,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,"1,554","1,326",,"1,326","1,325",,"1,325",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606425,,Uniforms and Wearing Apparel,,,,,,0,"1,020",,"1,020","1,020",,"1,020",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606427,,Recreational Supplies,,,,,,469,"8,160",,"8,160","8,160",,"8,160",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11010 Director's Office ,,,,,,,,"289,454","317,034",,"317,034","302,059",,"303,559",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"11011 Planning, Design and Development ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,"139,387","242,381",,"242,381","258,783",,"258,783",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"228,424",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,"90,294","162,654",,"162,654","165,447",,"165,447",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"13,718",,"13,718",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"27,456","25,141",,"25,141","26,333",,"26,333",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"6,421","5,880",,"5,880","6,159",,"6,159",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"75,575","66,749",,"66,749","74,578",,"74,578",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"37,800","37,800",,"37,800","37,800",,"37,800",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"3,760","3,605",,"3,605","4,327",,"4,327",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,81,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,720,480,,480,480,,480,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603204,,Software Support and Maintenance,,,,,,0,0,,0,"1,124",,"1,180",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604201,,City Garage Charges,,,,,,843,860,,860,860,,860,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604203,,City Garage - Fuel,,,,,,785,816,,816,816,,816,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,20,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"1,199","1,223",,"1,223","1,223",,"1,223",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"4,230","6,242",,"6,242","4,972",,"4,972",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,648,816,,816,816,,816,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605512,,P-Card Travel,,,,,,"1,075",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"1,752","2,442",,"2,442","2,165",,"2,215",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606008,,Vehicle Fuels,,,,,,33,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,311,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,0,102,,102,102,,102,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,0,76,,76,76,,76,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"11011 Planning, Design and ",,,,,,,,"620,814","570,985",,"570,985","586,061",,"586,167",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11012 Business Systems ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,"46,141","90,031",,"90,031","92,282",,"92,282",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"290,602",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,"111,231","210,855",,"210,855","216,126",,"216,126",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,180,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,     151 Parks and Recreation Special Revenue Fund     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0110 Parks and Recreation    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11012 Business Systems ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601140,,Supervisory Salaries,,,,,,"25,909","50,554",,"50,554","35,736",,"35,736",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,"89,230","200,622",,"200,622","163,099",,"163,099",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,31,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601280,,Skilled Overtime,,,,,,411,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601370,,Part-Time Clerical Salaries,,,,,,331,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"18,343",,"18,343",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"33,514","34,257",,"34,257","31,478",,"31,478",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"7,838","8,011",,"8,011","7,360",,"7,360",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"92,251","90,460",,"90,460","89,173",,"89,173",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"56,925","64,800",,"64,800","59,400",,"59,400",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"4,590","4,885",,"4,885","5,173",,"5,173",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,313,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602413,,Peer Recognition Award,,,,,,500,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,480,480,,480,480,,480,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603119,,Police Record Checks,,,,,,180,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,257,"50,000",,"50,000",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603204,,Software Support and Maintenance,,,,,,"62,285","62,392",,"62,392","61,500",,"61,500",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,0,102,,102,100,,100,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603401,,Printing And Binding (Outside),,,,,,297,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"51,055","14,015",,"14,015","55,000",,"55,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603414,,Contracted Billing Charges,,,,,,0,0,,0,100,,100,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"14,490","19,635",,"19,635","19,250",,"19,250",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"11,563","12,668",,"12,668","8,382",,"8,382",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"1,370","1,397",,"1,397","1,397",,"1,397",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,"1,062","1,836",,"1,836","1,900",,"1,900",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,656,632,,632,635,,635,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"5,040","8,280",,"8,280","7,452",,"7,452",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,548,"1,938",,"1,938","1,900",,"1,900",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,230,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605899,,Miscellaneous,,,,,,0,"3,059",,"3,059","4,771",,"8,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"20,439","16,605",,"16,605","16,600",,"16,600",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606004,,Medical Supplies,,,,,,0,26,,26,25,,25,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,"2,473",37,,37,200,,200,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,297,"1,578",,"1,578",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,187,306,,306,300,,300,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,"2,043","6,324",,"6,324","5,300",,"5,300",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,345,128,,128,125,,125,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606423,,Building Maintenance Supplies,,,,,,315,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606425,,Uniforms and Wearing Apparel,,,,,,178,922,,922,200,,200,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606427,,Recreational Supplies,,,,,,61,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
607831,,New Computer Workstation,,,,,,"1,949",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11012 Business Systems ,,,,,,,,"937,617","975,178",,"975,178","885,444",,"888,673",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11013 Parks and Recreation Human Resources ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,"35,493","69,255",,"69,255","70,986",,"70,986",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"121,159",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,"51,472","179,151",,"179,151","136,938",,"136,938",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,"38,467","75,058",,"75,058","76,934",,"76,934",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601311,,Part Time Salaries,,,,,,"10,971",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601370,,Part-Time Clerical Salaries,,,,,,"5,570","17,133",,"17,133","42,654",,"42,654",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601380,,Part-Time Skilled Salaries,,,,,,0,"8,164",,"8,164",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"7,474",,"7,474",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,181,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,     151 Parks and Recreation Special Revenue Fund     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0110 Parks and Recreation    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11013 Parks and Recreation Human Resources ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601730,,Part-Time Salary and Fringe Benefit Increases,,,,,,0,462,,462,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"15,952","21,622",,"21,622","19,482",,"19,482",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"3,731","5,055",,"5,055","4,555",,"4,555",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"36,993","53,306",,"53,306","50,077",,"50,077",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"24,975","37,800",,"37,800","32,400",,"32,400",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"1,841","2,879",,"2,879","2,905",,"2,905",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,14,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602403,,Employee Service Awards,,,,,,100,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
